"property_id","bathroom_count","bedroom_count","calc_finish_sq_ft","assessed_property_value","tax_paid","tax_rate","county_code","county"
1772,2,4,1604,498347,6089.82,1.22200394504231,6037,"Los Angeles"
2028,3,3,2384,549917,6679.55,1.2146469376287696,6037,"Los Angeles"
3273,2,3,1574,235272,3876.31,1.6475866231425753,6037,"Los Angeles"
3429,2,2,1619,340000,4206.15,1.2371029411764705,6037,"Los Angeles"
3908,3,3,1936,418146,5278.74,1.262415519938012,6037,"Los Angeles"
4505,3,2,2408,2017254,24353.42,1.2072560024667194,6037,"Los Angeles"
4530,0,0,NULL,5240710,75862.41,1.4475597772057602,6037,"Los Angeles"
5444,3,6,2610,381514,5708.9,1.4963802114732356,6037,"Los Angeles"
5931,2,4,1721,629951,6861.51,1.0892132880176395,6037,"Los Angeles"
6926,1,3,1136,305481,5488.23,1.7965863670735656,6037,"Los Angeles"
7018,1,2,1088,79930,1498.86,1.8752158138371073,6037,"Los Angeles"
7085,1,2,914,260000,3473.87,1.3361038461538461,6037,"Los Angeles"
7127,2,2,1003,279193,3416.36,1.2236553208712253,6037,"Los Angeles"
7764,2,3,1263,66220,1048.54,1.5834189066747206,6037,"Los Angeles"
7912,1,3,1330,595000,7072.55,1.1886638655462185,6037,"Los Angeles"
8301,1,3,1017,275061,3839.92,1.396024881753502,6037,"Los Angeles"
8552,1,2,850,285180,3433.84,1.2040956588821097,6037,"Los Angeles"
8879,1,2,920,49719,916.49,1.8433395683742633,6037,"Los Angeles"
9459,2,4,1202,33196,597.84,1.8009398722737682,6037,"Los Angeles"
10790,2,4,1444,479778,5822.9,1.213665486954383,6059,"Orange"
10803,2,2,949,50102,872.48,1.7414075286415711,6059,"Orange"
12420,2,2,1090,290614,2953.1,1.016158891175236,6059,"Orange"
13065,2,2,989,140326,1460.66,1.0409047503670026,6059,"Orange"
13098,1,1,737,180376,1769.22,0.9808511110125515,6059,"Orange"
13774,3,3,2817,969553,11416.77,1.1775292325432443,6037,"Los Angeles"
14311,3,4,2505,829744,9740.22,1.1738825469060334,6059,"Orange"
15142,3,3,1520,664811,9755.07,1.4673448544022285,6037,"Los Angeles"
15210,1,2,912,126974,1489.06,1.1727282750799377,6111,"Ventura"
16193,5,6,6014,1335281,16345.17,1.2240996464414606,6037,"Los Angeles"
16443,3,6,2444,570000,6987.78,1.2259263157894738,6037,"Los Angeles"
17549,2,3,1169,405083,4890.07,1.207177294529763,6037,"Los Angeles"
17759,2,3,1238,394900,5292.71,1.3402658900987592,6037,"Los Angeles"
21510,1,2,998,174459,2328.88,1.3349153669343514,6037,"Los Angeles"
27062,3.5,5,4958,465753,5235.58,1.1241108484540088,6059,"Orange"
29064,4,5,3279,221860,3633.51,1.6377490309204004,6037,"Los Angeles"
29466,2,2,950,169911,2266.14,1.3337217719865104,6037,"Los Angeles"
31566,2,2,1079,131387,1665.76,1.267827106182499,6037,"Los Angeles"
31567,2,2,971,107972,1382.12,1.280072611417775,6037,"Los Angeles"
31568,2,3,2104,418694,5165.13,1.2336288554409665,6037,"Los Angeles"
31569,1,2,872,169843,2064.86,1.215746306883416,6037,"Los Angeles"
31570,1,3,1190,194005,2366.31,1.2197159867013736,6037,"Los Angeles"
31571,2,3,1534,288259,3550.74,1.2317880794701985,6037,"Los Angeles"
31572,2,3,1247,433000,5295.13,1.2228937644341802,6037,"Los Angeles"
31573,4,4,2616,475804,5804.51,1.219937201032358,6037,"Los Angeles"
31574,2,2,1194,81956,1322.6,1.613792766850505,6037,"Los Angeles"
31575,2,3,1292,299690,3707.08,1.2369715372551637,6037,"Los Angeles"
31576,1,2,690,38257,640.73,1.6748046109208774,6037,"Los Angeles"
31577,1,2,958,161736,2128.2,1.3158480486719097,6037,"Los Angeles"
31578,2,3,1362,186363,2275.39,1.2209451446907378,6037,"Los Angeles"
31579,3,3,1542,206070,2595.65,1.259596253700199,6037,"Los Angeles"
31580,2,3,1142,308000,3704.93,1.2028993506493506,6037,"Los Angeles"
31581,2,2,916,152650,1905.29,1.2481428103504748,6037,"Los Angeles"
31582,2,3,1862,440438,5427.21,1.2322301890390928,6037,"Los Angeles"
31583,2,2,1221,187032,2261.4,1.2090979083793147,6037,"Los Angeles"
31584,3,3,2133,94225,1234.22,1.3098646855929956,6037,"Los Angeles"
31585,1,2,957,43850,631.22,1.4394982896237174,6037,"Los Angeles"
31586,2,3,1336,433500,5301.61,1.2229780853517878,6037,"Los Angeles"
31587,2,3,1371,214215,2607.88,1.2174124127628785,6037,"Los Angeles"
31588,2,3,1419,203463,2619.82,1.2876149471894154,6037,"Los Angeles"
31589,1,2,810,378000,4589.61,1.2141825396825396,6037,"Los Angeles"
31590,2,3,1306,212932,2643.28,1.2413728326414069,6037,"Los Angeles"
31591,3,4,1926,275849,3527.94,1.278938839727532,6037,"Los Angeles"
31592,2,3,1649,274197,3412.33,1.2444811577077795,6037,"Los Angeles"
31593,1,2,1095,164436,2087.18,1.2692962611593568,6037,"Los Angeles"
31594,2,3,1662,415924,5087.78,1.2232475163731835,6037,"Los Angeles"
31595,2,3,1615,264609,3358.6,1.2692689968973088,6037,"Los Angeles"
31596,1,3,1118,355336,4442.19,1.2501378976517998,6037,"Los Angeles"
31597,2,2,1369,205299,2505.59,1.2204589403747705,6037,"Los Angeles"
31598,1,3,1148,254564,3084.58,1.211711003912572,6037,"Los Angeles"
31599,2,3,1216,53387,807.39,1.5123344634461573,6037,"Los Angeles"
31600,2,4,1602,63736,824.57,1.2937272499058616,6037,"Los Angeles"
31601,2,5,1437,334117,4040.11,1.2091901938542486,6037,"Los Angeles"
31602,2,3,1352,230763,2886.11,1.2506814350654136,6037,"Los Angeles"
31603,1,2,1105,212913,2726.42,1.2805324240417448,6037,"Los Angeles"
31604,1,2,986,268294,3236.02,1.2061469880056952,6037,"Los Angeles"
31605,2,2,1396,408899,4937.68,1.2075549218755732,6037,"Los Angeles"
31606,2,3,1484,48826,705.55,1.4450292876745996,6037,"Los Angeles"
31607,3,3,2143,299428,3709.74,1.2389422498897897,6037,"Los Angeles"
31608,4,4,2327,68910,1031.81,1.4973298505296764,6037,"Los Angeles"
31609,2,3,1728,438000,5309.04,1.2121095890410958,6037,"Los Angeles"
31610,2,3,1499,497706,5997.19,1.2049663857779491,6037,"Los Angeles"
31611,2,2,1955,200962,2541.78,1.264806281784616,6037,"Los Angeles"
31612,3,6,2492,251248,3239.83,1.289494841749984,6037,"Los Angeles"
31613,2,2,2166,174986,2240.34,1.2802967094510418,6037,"Los Angeles"
31614,4,6,2256,505494,6284.08,1.2431561996779388,6037,"Los Angeles"
31615,2,4,1696,92110,1320.34,1.4334382803170123,6037,"Los Angeles"
31616,3,4,2220,108473,1439.99,1.3275100716307284,6037,"Los Angeles"
31617,3,3,1873,307134,3754.57,1.222453391679202,6037,"Los Angeles"
31618,2,3,1782,245563,3006.1,1.2241665071692396,6037,"Los Angeles"
31619,2,3,780,188689,2281.15,1.2089469974402325,6037,"Los Angeles"
31620,2,4,1534,364414,4522.8,1.241115873704084,6037,"Los Angeles"
31621,2,3,1266,334587,4129.7,1.2342679183590515,6037,"Los Angeles"
31622,1,2,926,311974,3837.12,1.2299486495669512,6037,"Los Angeles"
31623,3,6,2682,81134,1246.32,1.536125422141149,6037,"Los Angeles"
31624,2,3,1643,209797,2570.29,1.2251319132304084,6037,"Los Angeles"
31625,8,12,4590,664318,8304.51,1.2500805337202967,6037,"Los Angeles"
31626,2,3,1720,477465,5853.25,1.225901374969893,6037,"Los Angeles"
31627,1,1,684,207721,2597.69,1.2505668661329379,6037,"Los Angeles"
31628,3,3,2016,870000,10570.1,1.2149540229885059,6037,"Los Angeles"
31629,3,4,1948,379950,4750.27,1.2502355573101727,6037,"Los Angeles"
31630,2,2,1480,105574,1313.96,1.2445867353704512,6037,"Los Angeles"
31631,4,4,3700,1941626,23494.42,1.2100383905036294,6037,"Los Angeles"
31632,2,2,1181,483441,5899.02,1.220215083122863,6037,"Los Angeles"
31633,2,1,1052,284269,3396.83,1.1949350790976152,6037,"Los Angeles"
31634,2,2,1299,395732,4734.46,1.1963803786400897,6037,"Los Angeles"
31635,1,2,800,49864,624.59,1.2525870367399325,6037,"Los Angeles"
31636,1,2,1292,429365,5206.63,1.212634937640469,6037,"Los Angeles"
31637,2,2,961,177464,2193.29,1.2359070008565116,6037,"Los Angeles"
31638,1,1,890,275000,3354.41,1.2197854545454545,6037,"Los Angeles"
31639,5,5,4528,1308488,15912.78,1.216119674005417,6037,"Los Angeles"
31640,2,2,1127,360304,4407.23,1.2231976331098182,6037,"Los Angeles"
31641,1,3,1101,61666,868.69,1.4087017156942236,6037,"Los Angeles"
31642,2,2,1411,291649,3594.24,1.232385504493415,6037,"Los Angeles"
31643,1,2,972,343026,4175.25,1.217181787969425,6037,"Los Angeles"
31644,1,2,803,56489,758.29,1.3423675405831221,6037,"Los Angeles"
31645,1,2,752,494426,6059.11,1.225483692200653,6037,"Los Angeles"
31646,3,3,1885,678273,8299.38,1.223604654762905,6037,"Los Angeles"
31647,3,2,2089,224243,2845.59,1.2689760661425329,6037,"Los Angeles"
31648,2,2,1615,227563,2782.53,1.2227515017819242,6037,"Los Angeles"
31649,3,2,1815,479774,5757.04,1.1999483089954854,6037,"Los Angeles"
31650,2,2,1232,197400,2377,1.2041540020263424,6037,"Los Angeles"
31651,6,5,4225,1214888,14748.37,1.2139695181778074,6037,"Los Angeles"
31652,2,2,1239,305091,3847.26,1.2610204824134439,6037,"Los Angeles"
31653,4,2,2245,1155000,13978.59,1.2102675324675325,6037,"Los Angeles"
31654,3,3,2087,181448,2277.88,1.2553899739870378,6037,"Los Angeles"
31655,2,2,1815,440247,5431.96,1.233843728634153,6037,"Los Angeles"
31656,4,4,3474,1391624,29324.65,2.107225083787,6037,"Los Angeles"
